state,0,1,2,3,4,5,6
xx     xo oo ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx    x xo oo ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx    xo xo oo ,0.0,0.0,0.6,0.0,0.0,0.0,0.0
xx  x  xo xo oo ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx  x o xo xo oo ,0.0,0.0,0.0,0.0,-2.1,0.0,0.0
xx  x o xox xo oo ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x    xo o  ,0.0,0.0,1.2,0.0,0.0,0.0,0.0
x  x  xo o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x  x  xo oo  ,0.0,1.2,0.0,0.0,0.0,0.0,0.0
x x x  xo oo  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x x x o xo oo  ,0.0,0.0,-0.6,0.0,0.0,0.0,0.0
x x xx o xo oo  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x x xx o xo ooo  ,0.0,0.0,-0.8999999999999999,0.0,0.0,0.0,0.0
x x xxx o xo ooo  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx oo      ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx oo     x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx ooo     x ,0.0,0.0,-1.5,0.0,0.0,0.0,0.0
xx ooo x    x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo oo xo     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo oox xo     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x   o   x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx   ooo   x ,0.0,0.0,0.0,0.0,-1.5,0.0,0.0
xx   ooo x  x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo   o o   ,0.0,0.0,0.0,-1.7999999999999998,0.0,0.0,0.0
xxxo   ox o   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo  o ox o   ,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxox  o ox o   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x  x   oo  ,0.6,0.0,0.0,0.0,0.0,0.0,0.0
xx  x   oo  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooox  x x x   ,-7.140000000000001,-4.1370000000000005,-3.0,-3.6,-4.2,-3.5700000000000003,-3.6
oooxo  x x x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 o x     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo oxx xx     ,0.0,-1.7999999999999998,0.0,0.0,0.0,0.0,0.0
oo oxxo xx     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooox  x x xo   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooox  x x x  o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o  x x    ,0.0,-0.6,0.0,0.0,0.0,-1.02,-2.04
o  x x   o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  x    o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  x x   o ,-1.2,0.0,0.0,0.0,0.0,0.0,0.0
o  x x  o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooox  xx xx  o  ,0.0,0.0,0.0,-4.5,0.0,0.0,0.0
